state,ano1910,ano1920,ano1930,ano1940,ano1950,ano1960,ano1970,ano1980,ano1990,ano2000,ano2010
Alabama,10,10,9,9,9,8,7,7,7,7,7
Alaska,0,0,0,0,0,1,1,1,1,1,1
Arizona,1,1,1,2,2,3,4,5,6,8,9
Arkansas,7,7,7,7,6,4,4,4,4,4,4
California,11,11,20,23,30,38,43,45,52,53,53
Colorado,4,4,4,4,4,4,5,6,6,7,7
Connecticut,5,5,6,6,6,6,6,6,6,5,5
Delaware,1,1,1,1,1,1,1,1,1,1,1
Florida,4,4,5,6,8,12,15,19,23,25,27
Georgia,12,12,10,10,10,10,10,10,11,13,14
Hawaii,0,0,0,0,0,2,2,2,2,2,2
Idaho,2,2,2,2,2,2,2,2,2,2,2
Illinois,27,27,27,26,25,24,24,22,20,19,18
Indiana,13,13,12,11,11,11,11,10,10,9,9
Iowa,11,11,9,8,8,7,6,6,5,5,4
Kansas,8,8,7,6,6,5,5,5,4,4,4
Kentucky,11,11,9,9,8,7,7,7,6,6,6
Louisiana,8,8,8,8,8,8,8,8,7,7,6
Maine,4,4,3,3,3,2,2,2,2,2,2
Maryland,6,6,6,6,7,8,8,8,8,8,8
Massachusetts,16,16,15,14,14,12,12,11,10,10,9
Michigan,13,13,17,17,18,19,19,18,16,15,14
Minnesota,10,10,9,9,9,8,8,8,8,8,8
Mississippi,8,8,7,7,6,5,5,5,5,4,4
Missouri,16,16,13,13,11,10,10,9,9,9,8
Montana,2,2,2,2,2,2,2,2,1,1,1
Nebraska,6,6,5,4,4,3,3,3,3,3,3
Nevada,1,1,1,1,1,1,1,2,2,3,4
New Hampshire,2,2,2,2,2,2,2,2,2,2,2
New Jersey,12,12,14,14,14,15,15,14,13,13,12
New Mexico,1,1,1,2,2,2,2,3,3,3,3
New York,43,43,45,45,43,41,39,34,31,29,27
North Carolina,10,10,11,12,12,11,11,11,12,13,13
North Dakota,3,3,2,2,2,2,1,1,1,1,1
Ohio,22,22,24,23,23,24,23,21,19,18,16
Oklahoma,8,8,9,8,6,6,6,6,6,5,5
Oregon,3,3,3,4,4,4,4,5,5,5,5
Pennsylvania,36,36,34,33,30,27,25,23,21,19,18
Rhode Island,3,3,2,2,2,2,2,2,2,2,2
South Carolina,7,7,6,6,6,6,6,6,6,6,7
South Dakota,3,3,2,2,2,2,2,1,1,1,1
Tennessee,10,10,9,10,9,9,8,9,9,9,9
Texas,18,18,21,21,22,23,24,27,30,32,36
Utah,2,2,2,2,2,2,2,3,3,3,4
Vermont,2,2,1,1,1,1,1,1,1,1,1
Virginia,10,10,9,9,10,10,10,10,11,11,11
Washington,5,5,6,6,7,7,7,8,9,9,10
West Virginia,6,6,6,6,6,5,4,4,3,3,3
Wisconsin,11,11,10,10,10,10,9,9,9,8,8
Wyoming,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,
,435,435,435,435,435,435,435,435,435,435,435
