totalPopulation,hispanics,state,county,countyName,porcentajeHispanics
2496435,1623859,12,86,Miami-Dade,65.0
1748066,438247,12,11,Broward,25.1
1145956,308244,12,95,Orange,26.9
1229226,306635,12,57,Hillsborough,24.9
1320134,250823,12,99,Palm Beach,19.0
268685,122146,12,97,Osceola,45.5
618754,113308,12,71,Lee,18.3
602095,106532,12,105,Polk,17.7
321520,83177,12,21,Collier,25.9
916542,73241,12,103,Pinellas,8.0
422718,72457,12,117,Seminole,17.1
864263,65398,12,31,Duval,7.6
494593,55217,12,127,Volusia,11.2
464697,54536,12,101,Pasco,11.7
322833,47955,12,81,Manatee,14.9
277789,45995,12,111,St. Lucie,16.6
543376,43943,12,9,Brevard,8.1
331298,36137,12,83,Marion,10.9
297052,36009,12,69,Lake,12.1
379448,30033,12,115,Sarasota,7.9
247336,20752,12,1,Alachua,8.4
39140,19243,12,51,Hendry,49.2
146318,17881,12,85,Martin,12.2
172778,17796,12,53,Hernando,10.3
98786,17157,12,55,Highlands,17.4
138028,15465,12,61,Indian River,11.2
275487,15361,12,73,Leon,5.6
73090,15071,12,87,Monroe,20.6
190865,14609,12,19,Clay,7.7
297619,14061,12,33,Escambia,4.7
180822,12296,12,91,Okaloosa,6.8
27731,11895,12,49,Hardee,42.9
34862,10425,12,27,DeSoto,29.9
190039,9972,12,109,St. Johns,5.2
39996,9561,12,93,Okeechobee,23.9
159978,9213,12,15,Charlotte,5.8
95696,8251,12,35,Flagler,8.6
168852,8107,12,5,Bay,4.8
74364,6706,12,107,Putnam,9.0
141236,6584,12,17,Citrus,4.7
151372,6507,12,113,Santa Rosa,4.3
93420,5582,12,119,Sumter,6.0
46389,4419,12,39,Gadsden,9.5
41551,3596,12,121,Suwannee,8.7
67531,3276,12,23,Columbia,4.9
40801,3047,12,75,Levy,7.5
55043,2921,12,131,Walton,5.3
12884,2720,12,43,Glades,21.1
73314,2380,12,89,Nassau,3.2
49746,2143,12,63,Jackson,4.3
14799,1306,12,47,Hamilton,8.8
8870,1076,12,67,Lafayette,12.1
28520,1020,12,7,Bradford,3.6
30776,1016,12,129,Wakulla,3.3
19224,899,12,79,Madison,4.7
16939,845,12,41,Gilchrist,5.0
22570,777,12,123,Taylor,3.4
14625,755,12,13,Calhoun,5.2
15535,743,12,125,Union,4.8
24896,733,12,133,Washington,2.9
15863,678,12,45,Gulf,4.3
14761,546,12,65,Jefferson,3.7
11549,529,12,37,Franklin,4.6
27115,520,12,3,Baker,1.9
8365,518,12,77,Liberty,6.2
16422,512,12,29,Dixie,3.1
19927,444,12,59,Holmes,2.2
